Fluxx Glossary,,,,,,,
Report Date: 05-Nov-2024,,,,,,,
Model Type,Field Name,Label,Use,Theme Name,Form Name,Order,Legacy
Grant Request,fiscal_org_owner,Fiscal org owner,Core Field,,,,
Grant Request,fiscal_org_table,Fiscal Organization Table,Dynamic Field,,,,
Grant Request,fiscal_org_table,Fiscal Organization Table,Export Format,,,66,
Grant Request,fiscal_organization,Fiscal organization,Core Field,,,,
Grant Request,fiscal_organization_exists,Fiscal Organization Exists,Dynamic Field,,,,
Grant Request,fiscal_organization_exists,Does this grant include a Fiscal Sponsor?,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,fiscal_organization_exists,Does this grant include a Fiscal Sponsor?,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,fiscal_organization_exists,Fiscal Organization Exists,Export Format,,,70,
Grant Request,fiscal_organization_id.name,Fiscal Organization,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,fiscal_organization_id.name,Fiscal Organization,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,fiscal_organization_information,Fiscal Organization Information,Dynamic Field,,,,
Grant Request,fiscal_organization_information,Fiscal Organization Information,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,fiscal_organization_information,Fiscal Organization Information,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,fiscal_organization_information,Fiscal Organization Information,Export Format,,,83,
Grant Request,fiscal_signatory,Fiscal signatory,Core Field,,,,
Grant Request,fiscal_sponsor_org,Fiscal sponsor org,Core Field,,,,
Grant Request,fund_docket,Fund docket,Core Field,,,,
Grant Request,funding_general_operating_support,Funding general operating support,Core Field,,,,
Grant Request,funding_history,Funding history,Core Field,,,,
Grant Request,funding_source_list,Funding source list,Core Field,,,,
Grant Request,funding_source_list,Funding Source,Export Format,,,41,
Grant Request,funds_expended,Funds expended,Core Field,,,,
Grant Request,funds_expended_amount,Funds expended amount,Core Field,,,,
Grant Request,funds_expended_at,Funds expended at,Core Field,,,,
Grant Request,fx_applied_date_1,Fx applied date 1,Core Field,,,,
Grant Request,fx_applied_date_2,Fx applied date 2,Core Field,,,,
Grant Request,fx_date_1,Fx date 1,Core Field,,,,
Grant Request,fx_date_2,Fx date 2,Core Field,,,,
Grant Request,fx_rate1,Fx rate1,Core Field,,,,
Grant Request,fx_rate2,Fx rate2,Core Field,,,,
Grant Request,fx_spotrate_1,Fx spotrate 1,Core Field,,,,
Grant Request,fx_spotrate_2,Fx spotrate 2,Core Field,,,,
Grant Request,fx_type,Fx type,Core Field,,,,
Grant Request,ga_proposal_and_budget_date,Ga proposal and budget date,Core Field,,,,
Grant Request,geo_place_relationships,Geo place relationships,Core Field,,,,
Grant Request,geoplaceable,Geoplaceable,Core Field,,,,
Grant Request,grant_admin_feedback,Grant Admin Feedback,Dynamic Field,,,,
Grant Request,grant_admin_feedback,Grant Admin Feedback,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,grant_admin_feedback,Grant Admin Feedback,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,grant_admin_feedback,Grant Admin Feedback,Export Format,,,78,
Grant Request,grant_agreement_at,Grant agreement at,Core Field,,,,
